paradigm,model,mode,f1_macro_mean,f1_macro_std,far_class0_mean,far_class0_std,roc_auc_ovr_mean,roc_auc_ovr_std,balanced_acc_mean,balanced_acc_std,mcc_mean,mcc_std,pr_auc_mean,pr_auc_std,dr_anomaly_mean,dr_anomaly_std
classical,LogReg,full,0.6502,0.1698,0.433,0.2943,0.6554,0.2995,0.7015,0.1296,0.3979,0.2713,0.6828,0.2754,0.567,0.2943
classical,LogReg,no_proxy_loose,0.6487,0.1732,0.4395,0.2956,0.6602,0.2989,0.7017,0.1333,0.3987,0.2765,0.6869,0.271,0.5605,0.2956
classical,LogReg,no_proxy_strict,0.5062,0.142,0.5199,0.3202,0.5508,0.146,0.5829,0.095,0.1678,0.2194,0.6184,0.1619,0.4801,0.3202
classical,MLP,full,0.6414,0.1565,0.4045,0.3437,0.693,0.2882,0.691,0.1275,0.3749,0.2588,0.7341,0.2654,0.5955,0.3437
classical,MLP,no_proxy_loose,0.6507,0.1723,0.4196,0.3341,0.6788,0.2809,0.7075,0.1477,0.4018,0.2948,0.7015,0.2763,0.5804,0.3341
classical,MLP,no_proxy_strict,0.5282,0.139,0.5074,0.3615,0.6188,0.3046,0.6153,0.0707,0.2392,0.1541,0.6769,0.2861,0.4926,0.3615
classical,RandomForest,full,0.5638,0.1314,0.4542,0.3611,0.7865,0.1838,0.6419,0.0826,0.3228,0.1924,0.863,0.0798,0.5458,0.3611
classical,RandomForest,no_proxy_loose,0.5658,0.1392,0.4474,0.362,0.7734,0.1478,0.6433,0.0898,0.3137,0.1925,0.8157,0.1307,0.5526,0.362
classical,RandomForest,no_proxy_strict,0.5447,0.1475,0.48,0.3616,0.731,0.1144,0.6269,0.0863,0.2752,0.1752,0.7236,0.2187,0.52,0.3616
classical,SVM-RBF,full,0.5768,0.1812,0.5198,0.3326,0.6698,0.1999,0.6586,0.1221,0.3193,0.2454,0.7335,0.2331,0.4802,0.3326
classical,SVM-RBF,no_proxy_loose,0.5836,0.1832,0.5192,0.3303,0.6832,0.186,0.6628,0.1246,0.3261,0.2498,0.7389,0.2298,0.4808,0.3303
classical,SVM-RBF,no_proxy_strict,0.4617,0.2046,0.553,0.4075,0.5813,0.1949,0.5614,0.1209,0.1176,0.3232,0.6206,0.2147,0.447,0.4075
classical,XGBoost,full,0.5214,0.1362,0.4553,0.3595,0.6693,0.1621,0.5769,0.1056,0.2209,0.2165,0.7276,0.1907,0.5447,0.3595
classical,XGBoost,no_proxy_loose,0.5376,0.1381,0.4442,0.3613,0.7038,0.1674,0.5901,0.1046,0.2438,0.2264,0.7675,0.1103,0.5558,0.3613
classical,XGBoost,no_proxy_strict,0.5242,0.1269,0.5135,0.3363,0.6687,0.1512,0.604,0.0832,0.2109,0.1809,0.6756,0.2234,0.4865,0.3363
hybrid,XGB-DRU-trained,full,0.5091,0.2215,0.5043,0.3424,0.7514,0.2229,0.5775,0.1996,0.1974,0.3527,0.7974,0.134,0.4957,0.3424
hybrid,XGB-DRU-trained,no_proxy_loose,0.5289,0.1851,0.5452,0.2853,0.5419,0.2672,0.5673,0.1879,0.1851,0.3461,0.6777,0.2208,0.4548,0.2853
hybrid,XGB-DRU-trained,no_proxy_strict,0.5605,0.1366,0.4505,0.2711,0.6128,0.1691,0.6039,0.0828,0.2231,0.1904,0.6782,0.1867,0.5495,0.2711
hybrid,XGB-DRU-untrained,full,0.3445,0.1446,0.6165,0.4493,0.5326,0.2199,0.4917,0.1229,0.0099,0.2445,0.638,0.2131,0.3835,0.4493
hybrid,XGB-DRU-untrained,no_proxy_loose,0.4705,0.1996,0.5148,0.3743,0.4927,0.2122,0.5724,0.1009,0.1888,0.2475,0.6463,0.1659,0.4852,0.3743
hybrid,XGB-DRU-untrained,no_proxy_strict,0.5398,0.1602,0.4869,0.3501,0.5663,0.2256,0.6092,0.1395,0.224,0.2453,0.6547,0.2163,0.5131,0.3501
hybrid,XGB-PCA,full,0.3682,0.0661,0.6188,0.4505,0.6164,0.2131,0.5071,0.1111,0.0484,0.194,0.6865,0.1984,0.3812,0.4505
hybrid,XGB-PCA,no_proxy_loose,0.4888,0.2285,0.5345,0.4206,0.6565,0.2206,0.6061,0.1135,0.2664,0.2416,0.7365,0.1441,0.4655,0.4206
hybrid,XGB-PCA,no_proxy_strict,0.5315,0.185,0.4551,0.3874,0.6026,0.2264,0.5948,0.1529,0.2179,0.3189,0.6751,0.2163,0.5449,0.3874
hybrid,XGB-Poly2,full,0.4038,0.1349,0.5351,0.423,0.6259,0.1981,0.5107,0.1186,0.06,0.1986,0.6623,0.1854,0.4649,0.423
hybrid,XGB-Poly2,no_proxy_loose,0.4963,0.1606,0.4481,0.3481,0.5194,0.1693,0.5612,0.1547,0.1639,0.259,0.6525,0.2144,0.5519,0.3481
hybrid,XGB-Poly2,no_proxy_strict,0.5306,0.1526,0.5218,0.3268,0.6728,0.1569,0.6007,0.0803,0.2319,0.1943,0.7812,0.1106,0.4782,0.3268
hybrid,XGB-RandomRBF,full,0.498,0.1771,0.5703,0.3896,0.8006,0.1581,0.6133,0.0995,0.2597,0.2316,0.8181,0.2009,0.4297,0.3896
hybrid,XGB-RandomRBF,no_proxy_loose,0.4444,0.1545,0.6273,0.3744,0.6887,0.1473,0.5594,0.0962,0.1425,0.2151,0.7568,0.1126,0.3727,0.3744
hybrid,XGB-RandomRBF,no_proxy_strict,0.5093,0.144,0.5096,0.3477,0.5639,0.2209,0.5748,0.1049,0.1653,0.2174,0.6475,0.2327,0.4904,0.3477
hybrid,XGB-raw,full,0.3454,0.0982,0.5971,0.4425,0.4526,0.1914,0.4515,0.1334,-0.0442,0.2276,0.5632,0.1449,0.4029,0.4425
hybrid,XGB-raw,no_proxy_loose,0.4713,0.22,0.5407,0.4048,0.4865,0.2077,0.5854,0.0831,0.2169,0.1891,0.6206,0.1877,0.4593,0.4048
hybrid,XGB-raw,no_proxy_strict,0.523,0.1473,0.5301,0.3242,0.5577,0.2212,0.6054,0.0802,0.2232,0.188,0.6691,0.1965,0.4699,0.3242
quantum,DRU-Binary-B2,full,0.5684,0.2155,0.3797,0.3581,0.7566,0.2599,0.6447,0.1919,0.3184,0.3127,0.8409,0.1329,0.6203,0.3581
quantum,DRU-Binary-B2,no_proxy_loose,0.51,0.1624,0.5334,0.2522,0.5748,0.3132,0.5546,0.1948,0.1519,0.3265,0.6661,0.2723,0.4666,0.2522
quantum,DRU-Binary-B2,no_proxy_strict,0.5096,0.2027,0.5085,0.1872,0.5567,0.2749,0.5354,0.2067,0.0778,0.3747,0.6133,0.212,0.4915,0.1872
